NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;BONE;ANEKA JAYA BOGA;6;PALOPO;SWALAYAN ORIENTAL;1;BONE;DAPUR INDO;1;BONE
;;PARE;ANEKA JAYA BOGA;6;PALOPO;TOKO MANIS PARE;1;PARE;TOKO SINAR TENGGARA;1;PARE
;;PINRANG;ANEKA JAYA BOGA;6;PALOPO;NEW HJ HAMSI;1;PINRANG;TOKO AKBAR;1;PINRANG
;;MAKASSAR;SATUSAMA;1;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART;1;MAKASSAR
118;MENTEGA PUTIH;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO;;;
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;;;
;;PARE;TOKO MANIS PARE;1;PARE;CAHAYA UJUNG PARE;1;PARE;;;
;;PINRANG;TOKO HJ SAMSI;1;PINRANG;TOKO MIRI;1;PINRANG;;;
;;MAKASSAR;TOKO STAND PRESS 07;1;MAKASSAR;TOKO ROS;1;MAKASSAR;TOKO CAHAYA MAROS;1;MAKASSAR
119;MIE (11 Porsi);PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO
;;BONE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PARE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PINRANG;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;MAKASSAR;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
120;MIE (42 Porsi);PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO
;;BONE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PARE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PINRANG;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;MAKASSAR;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
121;MIE KECIL;PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO;TUUK FLOUR MILLS;1;PALOPO
;;BONE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PARE;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;PINRANG;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
;;MAKASSAR;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO;TUUK FLOUR MILLS;6;PALOPO
122;MINYAK BAWANG;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO
;;BONE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PARE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PINRANG;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;MAKASSAR;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
123;MINYAK GORENG;PALOPO;PT PELITA TERANG MAKMUR;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;PT PELITA TERANG MAKMUR;1;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;PT PELITA TERANG MAKMUR;1;PARE;TOKO AKBAR;1;PARE;TOKO SYAHRANI;1;PARE
;;PINRANG;PT PELITA TERANG MAKMUR;1;PINRANG;TOKO HJ HAMSI;1;PINRANG;SEJAHTERA;1;PINRANG
;;MAKASSAR;PT PELITA TERANG MAKMUR;1;MAKASSAR;BENTENG MART;1;MAKASSAR;SATUSAMA;1;MAKASSAR
124;MINYAK WIJEN;PALOPO;MULIA ABADI INDO;1;PALOPO;INTISARI PERKASA;1;PALOPO;SSM;3;MAKASSSAR
;;BONE;MULIA ABADI INDO;1;BONE;INTISARI PERKASA;1;BONE;SSM;3;MAKASSSAR
;;PARE;MULIA ABADI INDO;1;PARE;INTISARI PERKASA;1;PARE;SSM;3;MAKASSSAR
;;PINRANG;MULIA ABADI INDO;1;PINRANG;INTISARI PERKASA;1;PINRANG;SSM;3;MAKASSSAR
;;MAKASSAR;MULIA ABADI INDO;1;MAKASSAR;INTISARI PERKASA;1;MAKASSAR;SSM;1;MAKASSAR
125;MORIN CARAMEL;PALOPO;DP INDO ;1;PALOPO;DAPUR MARKET;1; PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;;;
;;PARE;TOKO MANIS PARE;1;PARE;TOKO SYAHRANI;1;PARE;CAHAYA UJUNG PARE;1;PARE
;;PINRANG;TOKO HJ SAMSI;1;PINRANG;SEJAHTERA;1;PINRANG;TOKO AKBAR;1;PINRANG
;;MAKASSAR;SATUSAMA;1;MAKASSAR;TOP MODE;1;MAKASSAR;BENTENG MART;1;MAKASSAR
126;NAI LAO BA PACK;PALOPO;TUUK HOUSE MEETS;1;PALOPO;TUUK HOUSE MEETS;1;PALOPO;TUUK HOUSE MEETS;1;PALOPO
;;BONE;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO
;;PARE;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO
;;PINRANG;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO
;;MAKASSAR;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO;TUUK HOUSE MEETS;6;PALOPO
127;NUTRIJELL PLAIN;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1; PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;TOKO USAHA BARU;1;BONE
;;PARE;TOKO MANIS PARE;1;PARE;TOKO SINAR TENGGARA;1;PARE;TOKO FROZEN & BAHAN KUE;1;PARE
;;PINRANG;TOKO HJ SAMSI;1;PINRANG;TOKO MANIS PARE;1;PARE;SEJAHTERA;1;PINRANG
;;MAKASSAR;SATUSAMA;1;MAKASSAR;TOKO SEMANGAT MAKMUR;1;MAKASSAR;TOKO ROS;1;MAKASSAR
128;OREO;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1; PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;TOKO USAHA BARU;1;BONE
;;PARE;TOKO MANIS PARE;1;PARE;TOKO SINAR TENGGARA;1;PARE;TOKO FROZEN & BAHAN KUE;1;PARE
;;PINRANG;TOKO HJ SAMSI;1;PINRANG;TOKO MANIS PARE;1;PARE;SEJAHTERA;1;PINRANG
;;MAKASSAR;SATUSAMA;1;MAKASSAR;TOKO SEMANGAT MAKMUR;1;MAKASSAR;TOKO ROS;1;MAKASSAR
129;PEWARNA MAKANAN MERAH MUDA;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1; PALOPO;TOKO CEMERLANG;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE;TOKO USAHA BARU;1;BONE
;;PARE;TOKO MANIS PARE;1;PARE;TOKO SINAR TENGGARA;1;PARE;TOKO FROZEN & BAHAN KUE;1;PARE
;;PINRANG;TOKO HJ SAMSI;1;PINRANG;TOKO MANIS PARE;1;PARE;SEJAHTERA;1;PINRANG
;;MAKASSAR;SATUSAMA;1;MAKASSAR;TOKO SEMANGAT MAKMUR;1;MAKASSAR;TOKO ROS;1;MAKASSAR
130;PIRING;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO;TOKO CEMERLANG;1;PALOPO
131;PLASTIK ATLAS;PALOPO;ABADI JAYA;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;GUDANG PACK BONE;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;HIBAH PLASTIK;1;PINRANG;TOKO RIFQY;1;PARE;TOKO PLASTIK 27 ;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO ANNUR PLASTIK;2;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
132;PLASTIK VACUM;PALOPO;PRODUKSI TMB;1;PALOPO;PRODUKSI TMB;1;PALOPO;PRODUKSI TMB;1;PALOPO
;;BONE;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;PARE;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;PINRANG;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO;PRODUKSI TMB;6;PALOPO
;;MAKASSAR;PRODUKSI TMB;6;MAKASSAR;PRODUKSI TMB;6;MAKASSAR;PRODUKSI TMB;6;MAKASSAR
133;PLASTIK WRAP;PALOPO;ABADI JAYA;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SWALAYAN ORIENTAL;1;BONE;GUDANG PACK BONE;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;HIBAH PLASTIK;1;PINRANG;TOKO RIFQY;1;PARE;TOKO PLASTIK 27 ;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO ANNUR PLASTIK;2;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
134;POWDER GREENTEA LATTE;PALOPO;SINAR ANUGERAH;2;MAROS;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SINAR ANUGERAH;2;MAROS;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;SINAR ANUGERAH;2;MAROS;CAHAYA UJUNG PARE;1;PARE;TOKO SYAHRANI;1;PARE
;;PINRANG;SINAR ANUGERAH;2;MAROS;SEJAHTERA ;1;PINRANG;VARIA BARU;1;PINRANG
;;MAKASSAR;SINAR ANUGERAH;1;MAROS;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
135;POWDER MATCHA LATTE;PALOPO;SINAR ANUGERAH;2;MAROS;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SINAR ANUGERAH;2;MAROS;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;SINAR ANUGERAH;2;MAROS;CAHAYA UJUNG PARE;1;PARE;TOKO SYAHRANI;1;PARE
;;PINRANG;SINAR ANUGERAH;2;MAROS;SEJAHTERA ;1;PINRANG;VARIA BARU;1;PINRANG
;;MAKASSAR;SINAR ANUGERAH;1;MAROS;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
136;POWDER TARO;PALOPO;SINAR ANUGERAH;2;MAROS;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SINAR ANUGERAH;2;MAROS;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;SINAR ANUGERAH;2;MAROS;CAHAYA UJUNG PARE;1;PARE;TOKO SYAHRANI;1;PARE
;;PINRANG;SINAR ANUGERAH;2;MAROS;SEJAHTERA ;1;PINRANG;VARIA BARU;1;PINRANG
;;MAKASSAR;SINAR ANUGERAH;1;MAROS;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
137;POWDER VANILLA;PALOPO;SINAR ANUGERAH;2;MAROS;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;SINAR ANUGERAH;2;MAROS;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;SINAR ANUGERAH;2;MAROS;CAHAYA UJUNG PARE;1;PARE;TOKO SYAHRANI;1;PARE
;;PINRANG;SINAR ANUGERAH;2;MAROS;SEJAHTERA ;1;PINRANG;VARIA BARU;1;PINRANG
;;MAKASSAR;SINAR ANUGERAH;1;MAROS;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
138;RINSO CAIR;PALOPO;ALFAMIDI;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;ALFAMIDI;1;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;ALFAMIDI;1;PARE;TOKO SYAHRANI;1;PARE;ABLAM JAYA;1;PARE
;;PINRANG;ALFAMIDI;1;PINRANG;TOKO HJ SAMSI;1;PINRANG;TOKO MIRI;1;PINRANG
;;MAKASSAR;ALFAMIDI;1;MAKASSAR;PT SENTRAL 88 ;1; MAKASSAR;;;
139;ROLL SEALER;PALOPO;ABADI JAYA;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;GUDANG PACK;1;BONE;SWLAYAN ORIENTAL;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;HIBAH PLASTIK;1;PINRANG;TOKO RIFQY;1;PARE;ABLAM JAYA;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
140;SAMBEL DIMSUM;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO;TUUK FLAVOUR ESSENTIALS;1;PALOPO
;;BONE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PARE;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;PINRANG;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
;;MAKASSAR;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO;TUUK FLAVOUR ESSENTIALS;6;PALOPO
141;SARUNG TANGAN;PALOPO;HIBAH PLASTIK;1;PINRANG;DP INDO;1;PALOPO;DAPUR MARKET;1;PALOPO
;;BONE;HIBAH PLASTIK;1;PINRANG;SWALAYAN ORIENTAL;1;BONE;PLASTIC RAYS 2;1;BONE
;;PARE;HIBAH PLASTIK;1;PINRANG;ABLAM JAYA;1;PARE;TOKO RIFQY;1;PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
142;SAYUR KOL;PALOPO;VENDOR SAYUR PALOPO;1;PALOPO;VENDOR SAYUR PALOPO 1;1;PALOPO;VENDOR SAYUR PALOPO 2;1;PALOPO
;;BONE;VENDOR SAYUR BONE;1;BONE;VENDOR SAYUR BONE 1;1;BONE;VENDOR SAYUR BONE 2;1;BONE
;;PARE;VENDOR SAYUR PARE;1;PARE;VENDOR SAYUR PARE 1;1;PARE;VENDOR SAYUR PARE 2;1;PARE
;;PINRANG;VENDOR SAYUR PINRANG;1;PINRANG;VENDOR SAYUR PINRANG 1;1;PINRANG;VENDOR SAYUR PINRANG 2;1;PINRANG
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO ALIP;1;MAKASSAR;TOKO BERKAH BERSAMA;1;MAKASSAR
143;SAYUR WORTEL;PALOPO;VENDOR SAYUR PALOPO;1;PALOPO;VENDOR SAYUR PALOPO 1;1;PALOPO;VENDOR SAYUR PALOPO 2;1;PALOPO
;;BONE;VENDOR SAYUR BONE;1;BONE;VENDOR SAYUR BONE 1;1;BONE;VENDOR SAYUR BONE 2;1;BONE
;;PARE;VENDOR SAYUR PARE;1;PARE;VENDOR SAYUR PARE 1;1;PARE;VENDOR SAYUR PARE 2;1;PARE
;;PINRANG;VENDOR SAYUR PINRANG;1;PINRANG;VENDOR SAYUR PINRANG 1;1;PINRANG;VENDOR SAYUR PINRANG 2;1;PINRANG
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO ALIP;1;MAKASSAR;TOKO BERKAH BERSAMA;1;MAKASSAR
144;SEDOTAN BOBA;PALOPO;ABADI JAYA;1;PALOPO;HIBAH PLASTIK;6;PINRANG;SWALAYAN ORIENTAL;6;BIONE
;;BONE;GUDANG PACK;1;BONE;HIBAH PLASTIK;6;PINRANG;SWALAYAN ORIENTAL;6;BIONE
;;PARE;HIBAH PLASTIK;1;PINRANG;SWALAYAN ORIENTAL;6;BIONE;ABADI JAYA;1;PALOPO
;;PINRANG;HIBAH PLASTIK;1;PINRANG;SWALAYAN ORIENTAL;6;BIONE;ABADI JAYA;1;PALOPO
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
145;SEDOTAN RUNCING;PALOPO;HIBAH PLASTIK;6;PINRANG;ABADI JAYA;1;BONE;SWALAYAN ORIENTAL;6;BIONE
;;BONE;GUDANG PACK;1;BONE;SWALAYAN ORIENTAL;1;BIONE;HIBAH PLASTIK;6;PINRANG
;;PARE;HIBAH PLASTIK;6;PINRANG;ABADI JAYA;1;BONE;SWALAYAN ORIENTAL;6;BIONE
;;PINRANG;HIBAH PLASTIK;6;PINRANG;ABADI JAYA;1;BONE;SWALAYAN ORIENTAL;6;BIONE
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
146;SENDOK BUBUR;PALOPO;DAPUR MARKET;1;PALOPO;HIBAH PLASTIK;1;BONE;SWALAYAN ORIENTAL;6;BIONE
;;BONE;GUDANG PACK;1;BONE;SWALAYAN ORIENTAL;1;BIONE;HIBAH PLASTIK;6;PINRANG
;;PARE;TOKO RIFQY;1;PARE;ABLAM JAYA;1;PARE;SINAR TENGGARA;1; PARE
;;PINRANG;HIBAH PLASTIK;1;PINRANG;TOKO TIJAROH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;RAJA PLASTIK ;1;MAKASSAR;Sumber Plastik MKS;1;MAKASSAR
147;SENDOK CHATANG;PALOPO;DP INDO;1;PALOPO;DAPUR MARKET;1;PALOPO;ABADI JAYA;1;PALOPO
;;BONE;HIBAH PLASTIK;1;BONE;SWLAYAN ORIENTAL;1;BONE;GUDANG PACK;1;BONE
;;PARE;TOKO RIFQY;1;PARE;ABLAM JAYA;1;PARE;SINAR TENGGARA;1; PARE
;;PINRANG;HIBAH PLASTIK;1;BONE;TOKO TIJAROH PLASTIK;1;PINRANG;TOKO NEW GEMBIRA PLASTIK;1;PINRANG
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
148;SERAI;PALOPO;VENDOR SAYUR PALOPO;1;PALOPO;VENDOR MA KEMBAR PLP;1;PALOPO;;;
;;BONE;VENDOR SAYUR BONE;1;BONE;TOKO 89 BONE;1;BONE;;;
;;PARE;TOKO HJ IDA;1;PARE;TOKO SAYUR MADI;1;PARE;;;
;;PINRANG;LAMBADA PINRANG;1;PINRANG;VENDOR SAYUR PINRANG;1;PINRANG;;;
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO STAND PRESS 07;1;MAKASSAR;TOKO ROS;1;MAKASSAR
149;SERBET;PALOPO;PT. ANUTA KARYA PRIMA;1;PALOPO;ABADI JAYA;1;PALOPO;DP INDO;1;PALOPO
;;BONE;PT. ANUTA KARYA PRIMA;1;BONE;SWALAYAN ORIENTAL;1;PALOPO;SURYA INDAH SWALAYAN;1;PALOPO
;;PARE;PT. ANUTA KARYA PRIMA;1;PARE;TOKO SYAHRANI;1;PARE;CAHAYA UJUNG PARE;1;PARE
;;PINRANG;PT. ANUTA KARYA PRIMA;1;PINRANG;TOKO AKBAR;1;PINRANG;TOKO HJ SAMSI;1;PINRANG
;;MAKASSAR;PT. ANUTA KARYA PRIMA;1;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR
150;SHINE ROAD WHIP CREAM;PALOPO;SWALAYAN ORIENTAL;6;BONE;TOKO CEMERLANG;1;PALOPO;BENTENG MART;6;MAKASSAR
;;BONE;SWALAYAN ORIENTAL;1;BONE;TOKO CEMERLANG;6;BONE;BENTENG MART;6;MAKASSAR
;;PARE;SWALAYAN ORIENTAL;6;BONE;TOKO CEMERLANG;6;PARE;BENTENG MART;6;MAKASSAR
;;PINRANG;SWALAYAN ORIENTAL;6;BONE;TOKO CEMERLANG;6;PINRANG;BENTENG MART;6;MAKASSAR
;;MAKASSAR;WJM;1;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
151;SHUMAI MINI;PALOPO;TUUK HOUSE MEATS;1;PALOPO;;;;;;
;;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
152;SHUMAI PACK;PALOPO;TUUK HOUSE MEATS;1;PALOPO;;;;;;
;;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
153;SIRUP DRIP BANANA;PALOPO;MULIA ABADI INDO;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;MULIA ABADI INDO;2;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;MULIA ABADI INDO;6;PALOPO;TOKO SYAHRANI;1;PARE;RADJASHOP;1;PINRANG
;;PINRANG;MULIA ABADI INDO;6;PALOPO;TOKO HJ SAMSI;1;PINRANG;RADJASHOP;1;PINRANG
;;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOP MODE;1;MAKASSAR
154;SIRUP DRIP BUTTERSCOTH;PALOPO;MULIA ABADI INDO;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
155;SIRUP LECI;PALOPO;MULIA ABADI INDO;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;MULIA ABADI INDO;2;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;MULIA ABADI INDO;6;PALOPO;TOKO SYAHRANI;1;PARE;RADJASHOP;1;PINRANG
;;PINRANG;MULIA ABADI INDO;6;PALOPO;TOKO HJ SAMSI;1;PINRANG;RADJASHOP;1;PINRANG
;;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOP MODE;1;MAKASSAR
156;SIRUP LEMON;PALOPO;MULIA ABADI INDO;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;MULIA ABADI INDO;2;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;MULIA ABADI INDO;6;PALOPO;TOKO SYAHRANI;1;PARE;RADJASHOP;1;PINRANG
;;PINRANG;MULIA ABADI INDO;6;PALOPO;TOKO HJ SAMSI;1;PINRANG;RADJASHOP;1;PINRANG
;;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOP MODE;1;MAKASSAR
157;SIRUP MANGGA;PALOPO;MULIA ABADI INDO;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
;;BONE;MULIA ABADI INDO;2;BONE;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;MULIA ABADI INDO;6;PALOPO;TOKO SYAHRANI;1;PARE;RADJASHOP;1;PINRANG
;;PINRANG;MULIA ABADI INDO;6;PALOPO;TOKO HJ SAMSI;1;PINRANG;RADJASHOP;1;PINRANG
;;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR;TOP MODE;1;MAKASSAR
158;SIRUP MARJAN VANILLA;PALOPO;MULIA ABADI INDO;2;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO
159;SIRUP MONIN GRENADINE;PALOPO;SEMESTA RASA;2;MAKASSAR;TOKO CEMERLANG;1;PALOPO;DAPUR MARKET;1;PALOPO
;;BONE;SEMESTA RASA;2;MAKASSAR;SWALAYAN ORIENTAL;1;BONE;SURYA INDAH SWALAYAN;1;BONE
;;PARE;SEMESTA RASA;2;MAKASSAR;SWALAYAN ORIENTAL;6;BONE;TOKO AKBAR;1;PARE
;;PINRANG;SEMESTA RASA;2;MAKASSAR;SWALAYAN ORIENTAL;6;BONE;TOKO HJ SAMSI;1;PINRANG
;;MAKASSAR;SEMESTA RASA;1;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
160;SIRUP PILARI GULA AREN;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO;1;PALOPO;TOKO CEMERLANG;1;PALOPO
