NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
38;BUMBU KERING AYAM TABUR;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
39;BUMBU KERING BEEF SAIKORO;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;1;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
40;BUMBU KERING BUBUR;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
41;BUMBU KERING IKAN DORI;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
42;BUMBU KERING ISIAN PANGSIT;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
43;BUMBU KERING NAILAOBA/XIAOBA;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
44;BUMBU KERING SAIKORO;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;1;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
45;BUMBU KERING SHUMAI/KUOTIE;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
46;BUMBU KERING TUMIS JAMUR;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;6;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;6;PALOPO;;;;;;
